bin_lower,bin_upper,bin_center,count,mean_predicted,empirical_rate
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,2,0.1,1.0
0.2,0.30000000000000004,0.25,51,0.28235294117647064,0.0392156862745098
0.30000000000000004,0.4,0.35000000000000003,1,0.35,0.0
0.4,0.5,0.45,43,0.3999999999999999,0.09302325581395349
0.5,0.6000000000000001,0.55,52,0.5653846153846155,0.1346153846153846
0.6000000000000001,0.7000000000000001,0.6500000000000001,26,0.6999999999999998,0.2692307692307692
0.7000000000000001,0.8,0.75,2,0.75,0.5
0.8,0.9,0.8500000000000001,5,0.8,0.2
0.9,1.0,0.95,0,,
