run_id,method,target,seed,max_generations,llm_model,best_rank,best_word,generation_reached,total_guesses,final_generation,terminal_event,hit_max_generations,solved,trace_path,final_mean_sigma,winner_origin,winner_sigma,operator_counts,diversity_collapse_flag,diversity_collapse_max_consecutive_pair_generations,diversity_collapse_pair,inspection_script_status
ea_llm_self_adaptive_local_superficial_20260526_222735,ea_llm_self_adaptive,superficial,42,50,qwen3:14b,14,appearance,15,936,50,FAILED,True,False,traces/ea_llm_self_adaptive_local_superficial_20260526_222735.json,"[0.10549277243194184, 0.2000737784724958, 0.3729856246727, 0.32144782442286246]",,,"{""l"": 74, ""m"": 69, ""ml"": 56, ""s"": 49}",True,8,Perceptual Qualities of Form | Visual Characteristics of Body Shape,"FAIL: perturbation magnitude, operator usage"
ea_llm_self_adaptive_local_superficial_20260527_044742,ea_llm_self_adaptive,superficial,42,50,qwen3:14b,18,plump,22,817,50,FAILED,True,False,traces/ea_llm_self_adaptive_local_superficial_20260527_044742.json,"[0.19839794051172496, 0.17017444719329983, 0.2995801489670602, 0.3318474633279151]",crossover,"[0.1295420400072653, 0.06918914716413262, 0.29977230596949406, 0.5014965068591081]","{""l"": 81, ""m"": 39, ""ml"": 67, ""s"": 60}",True,8,material_nutrients | sensory_attributes_of_fat,FAIL: perturbation magnitude
ea_llm_self_adaptive_local_superficial_20260527_052708,ea_llm_self_adaptive,superficial,44,50,qwen3:14b,18,plump,29,795,50,FAILED,True,False,traces/ea_llm_self_adaptive_local_superficial_20260527_052708.json,"[0.428975971594818, 0.48069118020899804, 0.06549910140491984, 0.024833746791264124]",crossover,"[0.4471850785247577, 0.4994361620868769, 0.03337875938836545, 0.02]","{""l"": 20, ""m"": 104, ""ml"": 31, ""s"": 93}",True,6,Information Density Features | Structural Discomfort from Enlargement,FAIL: perturbation magnitude
ea_llm_self_adaptive_local_superficial_20260527_060746,ea_llm_self_adaptive,superficial,45,50,qwen3:14b,18,plump,31,813,50,FAILED,True,False,traces/ea_llm_self_adaptive_local_superficial_20260527_060746.json,"[0.2602118073181416, 0.12032901435739915, 0.3468222779574862, 0.27263690036697313]",crossover,"[0.1756762766099105, 0.05891336836711372, 0.5125291236370552, 0.2528812313859207]","{""l"": 67, ""m"": 33, ""ml"": 81, ""s"": 66}",False,5,speed and brevity of visual actions | tactile properties,FAIL: perturbation magnitude
ea_llm_self_adaptive_local_superficial_20260527_005559,ea_llm_self_adaptive,superficial,46,50,qwen3:14b,5,thin,8,617,50,FAILED,True,False,traces/ea_llm_self_adaptive_local_superficial_20260527_005559.json,"[0.35671571512769706, 0.19697821780129843, 0.30750888999037385, 0.13879717708063077]",crossover,"[0.5126120696770813, 0.10459662473814577, 0.362791305584773, 0.02]","{""l"": 24, ""m"": 45, ""ml"": 76, ""s"": 103}",True,13,refined lightness descriptors | thinness descriptors,"FAIL: perturbation magnitude, population mean sigma"
