condition,target,runs,solved,solve_rate,solved_total_guesses_median,solved_total_guesses_iqr,unsolved_best_rank_median,unsolved_best_rank_iqr,all_best_rank_median,all_best_rank_iqr,generations_median,generations_iqr
pivot_off,ALL,15,8,0.5333333333333333,582.0,251.0,13.0,55.0,1.0,12.0,41.0,26.0
pivot_on,ALL,15,10,0.6666666666666666,247.0,181.0,7.0,2.5,1.0,6.0,12.0,43.0
pivot_off,herbaceous,5,4,0.8,644.5,97.0,3.0,0.0,1.0,1.0,34.0,18.0
pivot_on,herbaceous,5,4,0.8,219.5,166.0,3.0,0.0,1.0,1.0,9.0,26.5
pivot_off,notorious,5,1,0.2,450.0,0.0,35.0,60.5,8.0,64.0,50.0,16.0
pivot_on,notorious,5,1,0.2,159.0,0.0,7.0,0.5,7.0,3.5,50.0,22.0
pivot_off,superficial,5,3,0.6,363.0,392.0,13.0,0.0,1.0,12.0,38.0,37.5
pivot_on,superficial,5,5,1.0,258.0,346.0,,,1.0,0.0,9.0,16.5
