condition,target,runs,solved,solve_rate,solved_total_guesses_median,solved_total_guesses_iqr,unsolved_best_rank_median,unsolved_best_rank_iqr,all_best_rank_median,all_best_rank_iqr,generations_median,generations_iqr
pivot_off,ALL,15,9,0.6,633.0,274.0,10.5,55.0,1.0,7.0,41.0,21.0
pivot_on,ALL,15,10,0.6666666666666666,270.0,145.0,8.0,3.0,1.0,6.0,18.0,42.0
pivot_off,herbaceous,5,4,0.8,679.0,131.5,3.0,0.0,1.0,1.0,41.0,17.0
pivot_on,herbaceous,5,5,1.0,242.0,234.0,,,1.0,0.0,8.0,10.5
pivot_off,notorious,5,1,0.2,450.0,0.0,35.0,60.5,8.0,64.0,50.0,16.0
pivot_on,notorious,5,1,0.2,657.0,0.0,7.5,2.5,7.0,5.5,50.0,6.5
pivot_off,superficial,5,4,0.8,487.5,320.5,13.0,0.0,1.0,6.0,29.0,31.5
pivot_on,superficial,5,4,0.8,304.0,112.5,9.0,0.0,1.0,4.0,12.0,25.5
